equipment,date,changed_pcs
1026809,9/25/2023,1
1026809,9/25/2023,1
1026809,2/26/2024,1
1026809,3/7/2024,0
1026809,4/18/2024,0
1026809,4/22/2024,0
1026811,2/7/2023,1
1026811,2/7/2023,1
1026811,2/8/2023,1
1026811,2/8/2023,1
1026811,2/16/2023,1
1026811,2/16/2023,1
1026811,2/20/2023,1
1026811,2/20/2023,1
1026811,4/19/2023,0
1026811,4/20/2023,1
1026811,4/20/2023,1
1026811,8/29/2023,1
1026811,8/29/2023,1
1026811,9/5/2023,1
1026811,9/5/2023,1
1026815,2/2/2023,0
1026815,2/2/2023,0
1026815,7/5/2023,0
1026815,7/5/2023,0
1026815,7/20/2023,0
1026815,7/20/2023,0
1026815,7/25/2023,0
1026815,7/25/2023,0
1026815,11/30/2023,0
1026815,11/30/2023,0
1026815,2/6/2024,0
1026815,3/14/2024,4
1026815,3/25/2024,0
1026815,5/29/2024,0
1026821,1/17/2023,0
1026821,1/17/2023,0
1026821,1/19/2023,1
1026821,1/19/2023,1
1026821,1/20/2023,2
1026821,1/20/2023,2
1026821,1/23/2023,1
1026821,1/23/2023,1
1026821,1/24/2023,1
1026821,1/24/2023,1
1026821,1/26/2023,1
1026821,1/26/2023,1
1026821,2/2/2023,1
1026821,2/2/2023,1
1026821,2/3/2023,3
1026821,2/3/2023,3
1026821,2/6/2023,0
1026821,2/8/2023,0
1026821,2/8/2023,0
1026821,2/10/2023,2
1026821,2/10/2023,2
1026821,2/13/2023,1
1026821,2/13/2023,1
1026821,2/16/2023,0
1026821,2/22/2023,1
1026821,2/22/2023,1
1026821,2/23/2023,1
1026821,2/23/2023,0
1026821,2/23/2023,1
1026821,3/1/2023,1
1026821,3/1/2023,1
1026821,3/2/2023,0
1026821,3/2/2023,0
1026821,3/3/2023,1
1026821,3/3/2023,0
1026821,3/3/2023,1
1026821,3/3/2023,0
1026821,3/8/2023,0
1026821,3/8/2023,0
1026821,3/9/2023,3
1026821,3/9/2023,3
1026821,3/10/2023,1
1026821,3/10/2023,1
1026821,3/14/2023,0
1026821,3/14/2023,0
1026821,3/15/2023,4
1026821,3/15/2023,4
1026821,3/16/2023,4
1026821,3/16/2023,4
1026821,3/20/2023,0
1026821,3/20/2023,0
1026821,3/21/2023,1
